#STN       LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text      deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
45196    41.521  -81.880 2024 10 18 22 50  70   4.0   5.0  0.2  MM   MM  19 1031.3    MM  16.0  16.6   9.8   MM     MM
45198    41.892  -87.563 2024 10 18 23 10 230   3.0   4.0  0.2  MM   MM 215 1030.8    MM  17.3  15.6    MM   MM     MM
45200    41.724  -83.370 2024 10 18 23 00  MM   4.0   5.0   MM  MM   MM  MM 1031.6  -0.4  14.5  13.4  10.9   MM     MM
45201    41.601  -82.781 2024 10 18 23 10  MM   3.0   4.0  0.2  MM   MM 155 1034.7    MM  14.8  14.6   9.4   MM     MM
45202    41.532  -82.941 2024 10 18 23 10  MM   3.0   4.0  0.1  MM   MM  20 1031.9    MM  16.0  14.1  10.5   MM     MM
45203    41.393  -82.512 2024 10 18 23 10  50   5.0   7.0  0.3   2   MM  24     MM    MM  15.4  14.9  10.7   MM     MM
45209    43.129  -82.391 2024 10 18 23 00 230   3.0   4.0  0.2  MM   MM 197 1032.4  +0.0  16.0  15.2   9.7   MM     MM
45210    44.055  -87.050 2024 10 18 22 56  MM    MM    MM  1.7   6  4.7 181     MM    MM  15.1  14.6    MM   MM     MM
45211    46.973  -86.568 2024 10 18 22 26  MM    MM    MM  1.0   4  3.6 182     MM    MM  14.9  11.6    MM   MM     MM
45215    43.501  -76.539 2024 10 18 22 56  MM    MM    MM  0.2  MM  2.9  MM     MM    MM  13.9  15.9    MM   MM     MM
45216    46.932  -89.349 2024 10 18 23 00 190   5.0    MM  0.3   2   MM  MM 1021.0  +1.0  18.1  11.9   9.8   MM     MM
45218    43.731  -87.624 2024 10 18 23 00 160   7.0  12.0  1.2   6   MM 134 1008.3  +0.0  26.0  15.6    MM   MM     MM
45219    47.021  -91.625 2024 10 18 23 10  40   1.0    MM   MM  MM   MM  MM 1020.2    MM  11.9   7.6   7.0   MM     MM
46001    56.296 -148.027 2024 10 18 23 00 300   7.0   9.0   MM  MM   MM  MM 1000.7  -0.7   5.7   9.9  -2.4   MM     MM
46005    46.143 -131.090 2024 10 18 23 00 230  12.0  15.0   MM  MM   MM  MM 1013.0  +0.0  17.1  15.8  16.3   MM     MM
46006    40.764 -137.377 2024 10 18 23 00 210   9.0  12.0   MM  MM   MM  MM 1021.8  -1.5  20.0  20.0  17.4   MM     MM
46011    34.937 -120.999 2024 10 18 23 00 310   8.0   9.0   MM  MM   MM  MM     MM    MM    MM  15.3    MM   MM     MM
46013    38.235 -123.317 2024 10 18 23 00 320   9.0  11.0   MM  MM   MM  MM 1018.8  -1.0  13.3    MM  10.6   MM     MM
46014    39.225 -123.980 2024 10 18 23 00 360   7.0   9.0   MM  MM   MM  MM 1020.7  -0.8  13.9  12.9   9.7   MM     MM
46022    40.716 -124.540 2024 10 18 23 00 350   6.0   8.0   MM  MM   MM  MM 1024.7  -0.3  12.2  11.5   9.8   MM     MM
46026    37.754 -122.839 2024 10 18 22 40  MM    MM    MM  1.8  11  6.2 301     MM    MM    MM  13.7    MM   MM     MM
46027    41.840 -124.382 2024 10 18 23 00 330   5.0   6.0   MM  MM   MM  MM 1024.5  -1.1  12.4  11.7   8.9   MM     MM
46028    35.770 -121.903 2024 10 18 23 00 340   6.0   8.0   MM  MM   MM  MM 1016.0  -0.5  14.7    MM  10.4   MM     MM
46029    46.163 -124.487 2024 10 18 23 00 180  15.0  19.0   MM  MM   MM  MM 1020.3  -1.9  12.2  13.1  11.5   MM     MM
46035    57.034 -177.468 2024 10 18 23 00  MM    MM    MM   MM  MM   MM  MM 1018.6  -0.8    MM   6.1    MM   MM     MM
